127.0.0.1 - - [26/Dec/2015:13:55:34 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/ospb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/if_main.jsp HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/bg_gnb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/js/sly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/js/horizontal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/air/air_img02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/air/air_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/air/air_img03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/best/best_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/best/best_img02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:55:59 +0900] "GET /Air/img/main/best/best_img03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/best/best_img04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/best/best_img05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/essay/essay_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/bg_hover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/tit_line.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/main/banner_v1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/img/common/bu_01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:00 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:56:01 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:59:37 +0900] "GET /content/dam/happybath/images/common/header-gnb-active.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:13:59:53 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:19 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:20 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:20 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:20 +0900] "GET /content/dam/happybath/images/common/header-gnb-active.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "POST /Air/agree.action HTTP/1.1" 200 8151
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:02:41 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:03:30 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:04:03 +0900] "GET /content/dam/happybath/images/common/header-gnb-active.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:01 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:04 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:05 +0900] "GET /content/dam/happybath/images/common/header-gnb-active.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:06 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/index.action HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/if_main.jsp HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:08 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/membershipLogin.action HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:09 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /content/dam/happybath/images/common/bg-header-side-li.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/css/webfont/NanumGothic-Regular.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:10 +0900] "GET /Air/css/webfont/NanumGothic-Bold.ttf HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:11 +0900] "GET /Air/membership.action HTTP/1.1" 200 16814
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:11 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:11 +0900] "GET /Air/css/netdna.bootstrapcdn.com/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:11 +0900] "GET /Air/css/webfont/NanumGothic-Regular.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [26/Dec/2015:14:09:11 +0900] "GET /Air/css/webfont/NanumGothic-Bold.woff HTTP/1.1" 404 1025
